id,prediccion
0,85120.875
1,852283.1
2,101043.92
3,656127.9
4,386311.7
5,87110.695
6,628805.25
7,835922.25
8,91877.62
9,629938.6
10,759589.8
11,198073.9
12,239487.31
13,81151.96
14,2058439.6
15,366375.75
16,365308.94
17,590255.6
18,560280.56
19,460855.9
20,603532.6
21,162488.5
22,187541.5
23,81012.17
24,234200.19
25,556532.0
26,327025.12
27,637773.06
28,369566.38
29,82661.055
30,110536.875
31,335564.34
32,221223.36
33,59354.56
34,223048.94
35,123382.21
36,639666.9
37,819700.4
38,573447.6
39,762338.56
40,820791.75
41,152242.03
42,404076.66
43,590876.75
44,265391.47
45,292428.6
46,233693.47
47,247760.02
48,331890.2
49,1228977.5
50,760866.7
51,133059.62
52,313676.6
53,687953.7
54,240122.72
55,659381.3
56,214283.89
57,536390.06
58,92535.664
59,1542782.6
60,366807.12
61,655603.7
62,1183917.1
63,74997.08
64,460786.28
65,1583089.6
66,141637.47
67,1554081.5
68,405932.16
69,171024.44
70,178610.6
71,85083.55
72,148485.19
73,575768.5
74,809669.8
75,404490.53
76,93598.88
77,62440.53
78,268524.16
79,1588307.6
80,640488.94
81,297925.22
82,1279611.9
83,131913.9
84,75538.18
85,67866.875
86,1370070.4
87,144904.77
88,165633.31
89,93299.08
90,427763.1
91,514829.7
92,202552.53
93,61395.336
94,490675.9
95,174935.0
96,1764766.1
97,112183.8
98,331336.2
99,2146365.2
100,256752.61
101,75444.7
102,393689.72
103,105217.89
104,972665.7
105,84599.49
106,463333.97
107,1540159.9
108,423372.78
109,187643.16
110,699630.44
111,563293.25
112,65940.86
113,446005.72
114,92197.43
115,56139.465
116,379688.38
117,215649.53
118,87187.79
119,1409952.4
120,362599.72
121,75706.875
122,655868.6
123,406083.28
124,477759.4
125,105778.93
126,116656.164
127,70451.39
128,303846.4
129,72998.55
130,531696.1
131,80880.19
132,96217.484
133,415431.16
134,84197.1
135,296081.66
136,204411.6
137,479951.44
138,531938.56
139,79016.43
140,64592.34
141,341224.5
142,429740.0
143,389803.78
144,101304.445
145,568308.75
146,607394.94
147,139315.81
148,133367.69
149,192690.81
150,123802.05
151,83039.516
152,212931.52
153,791896.6
154,138254.47
155,80887.57
156,273666.75
157,69053.32
158,574304.6
159,79913.81
160,884411.9
161,1885307.2
162,2054418.0
163,454556.16
164,168980.16
165,91101.65
166,147426.08
167,639021.9
168,462642.34
169,584650.25
170,475939.6
171,114915.016
172,193891.12
173,129576.984
174,649577.5
175,178511.69
176,535028.4
177,1861694.0
178,582998.9
179,287791.66
180,82476.83
181,305629.28
182,248209.61
183,287999.9
184,626688.94
185,156527.38
186,1557034.6
187,832405.9
188,129118.84
189,94933.016
190,83479.83
191,1026601.75
192,1504304.2
193,686441.44
194,699088.25
195,964586.56
196,160603.66
197,229462.88
198,428571.03
199,574443.9
200,227362.23
201,158676.72
202,631311.5
203,486775.25
204,1861649.6
205,397560.4
206,67978.29
207,289298.78
208,508867.12
209,401062.97
210,686961.6
211,1869098.8
212,80292.9
213,126434.22
214,429378.88
215,150359.56
216,125539.91
217,406903.78
218,63505.004
219,728822.94
220,391961.4
221,1389432.0
222,190080.98
223,294783.72
224,178356.5
225,309635.66
226,110589.984
227,127796.14
228,87000.86
229,720023.25
230,872989.5
231,96951.9
232,319295.34
233,109166.33
234,155986.25
235,693305.6
236,86628.67
237,69533.53
238,534574.0
239,492108.16
240,369258.84
241,406623.7
242,1687199.9
243,724914.4
244,99292.8
245,86445.04
246,202051.53
247,865576.4
248,306664.56
249,62606.42
250,177125.19
251,276060.78
252,114192.05
253,1101508.9
254,150359.14
255,373016.66
256,498836.4
257,384558.7
258,634065.4
259,481273.72
260,104992.266
261,323056.84
262,181620.98
263,351207.97
264,452329.2
265,473898.47
266,292424.25
267,1283936.0
268,137376.14
269,127572.875
270,94641.59
271,81485.016
272,140629.25
273,282120.44
274,281605.16
275,322591.66
276,366249.28
277,322649.53
278,579667.25
279,659821.4
280,74016.92
281,328360.8
282,128792.27
283,719585.1
284,387288.28
285,390788.47
286,224885.42
287,72411.414
288,516450.03
289,229364.12
290,1031509.44
291,126744.234
292,767806.44
293,49250.36
294,430289.28
295,598130.56
296,300838.72
297,325563.6
298,397677.47
299,431080.44
300,153711.38
301,661766.6
302,383111.97
303,297993.6
304,250998.5
305,466601.22
306,309793.44
307,606899.8
308,118476.65
309,1014002.0
310,479813.5
311,658750.25
312,558117.8
313,527927.6
314,144066.03
315,144362.22
316,202461.0
317,245826.92
318,87816.336
319,777450.1
320,167927.38
321,165810.88
322,435397.0
323,195045.25
324,507273.62
325,191310.17
326,788813.1
327,606567.25
328,103079.08
329,2405153.8
330,246839.3
331,241807.4
332,417848.84
333,357796.1
334,689127.4
335,250097.92
336,55464.81
337,54308.793
338,94006.6
339,170380.92
340,419683.12
341,197870.12
342,160692.89
343,72500.625
344,574371.25
345,105510.305
346,888994.6
347,372780.22
348,372103.97
349,81666.7
350,896952.4
351,134374.12
352,271403.03
353,1547089.8
354,174088.34
355,273876.9
356,1651839.5
357,647447.6
358,764517.7
359,80175.63
360,262128.11
361,373436.78
362,868670.56
363,270533.9
364,75855.59
365,60246.098
366,623462.44
367,152026.69
368,83176.26
369,281319.34
370,431308.53
371,1421435.2
372,1380721.0
373,1930552.6
374,295502.47
375,86619.23
376,362216.94
377,381340.47
378,469542.1
379,422859.84
380,194756.1
381,472656.03
382,283535.4
383,98508.055
384,253070.8
385,101165.47
386,247180.33
387,164450.95
388,263444.7
389,636867.25
390,596758.0
391,1182953.5
392,233517.67
393,97274.3
394,296020.3
395,477398.97
396,203338.98
397,580266.6
398,381605.16
399,177044.02
400,378172.44
401,541468.2
402,90748.17
403,435691.06
404,1652865.4
405,443490.75
406,970337.75
407,138930.9
408,1244838.0
409,72539.42
410,109735.17
411,146131.23
412,80533.24
413,308079.84
414,757780.4
415,499296.25
416,1955862.9
417,170434.2
418,86068.0
419,104403.92
420,463030.97
421,129979.61
422,518725.28
423,299843.47
424,102045.83
425,1415454.1
426,728683.2
427,108136.05
428,1647333.0
429,203162.7
430,115490.29
431,308598.9
432,88828.56
433,380020.06
434,68111.8
435,2176739.0
436,96633.08
437,229740.88
438,101791.94
439,1099450.4
440,488154.1
441,99246.25
442,1069215.8
443,410593.25
444,699991.06
445,282742.03
446,124540.195
447,161106.25
448,66379.2
449,302731.47
450,142568.89
451,113076.15
452,100655.33
453,868322.75
454,2123071.8
455,93340.766
456,445064.16
457,102650.41
458,245977.62
459,1296284.8
460,102781.945
461,383074.62
462,348925.56
463,1743099.9
464,499644.72
465,1387749.4
466,58572.1
467,603205.6
468,294565.16
469,57781.242
470,606206.0
471,1192857.6
472,94977.836
473,62519.48
474,168384.8
475,191504.9
476,580762.6
477,105403.07
478,1418018.8
479,80844.5
480,71403.266
481,68441.6
482,1780214.4
483,564406.3
484,1304304.2
485,70320.16
486,555387.0
487,63371.305
488,86922.84
489,242334.58
490,408332.4
491,729103.94
492,224761.48
493,664048.4
494,193908.02
495,1238918.0
496,1751589.6
497,375453.16
498,1532454.5
499,1631809.1
500,276857.5
501,265690.2
502,77436.66
503,237751.06
504,394010.97
505,183236.84
506,785486.6
507,77179.64
508,111807.81
509,1687419.6
510,640339.9
511,810068.5
512,183985.69
