id,prediccion
0,273452.0909254566
1,1182856.6776346124
2,18282.298692243225
3,1254979.2158835176
4,840036.7138280838
5,14610.556829872696
6,1548205.3224975595
7,1040501.8219043966
8,994224.8323766607
9,1118834.5863703247
10,566216.3337566719
11,537393.2513096066
12,1029554.4780435328
13,54862.04081127045
14,1604431.3596173571
15,908680.6361907606
16,319134.6854016338
17,341272.8760497746
18,917474.1284443834
19,1169552.6904311976
20,877362.1306358604
21,204677.4280233715
22,1074714.5383347976
23,48779.1328043158
24,1408960.2658968107
25,865568.1062028451
26,155423.9295146268
27,26764.951121310063
28,971391.6595467628
29,749064.0313442221
30,1164884.5077941031
31,1312561.9528795264
32,60316.95655642628
33,58771.02692875192
34,866266.8426759895
35,186735.68366975323
36,1335432.7064743186
37,1310019.2669743658
38,1515996.8179087592
39,893961.6878108701
40,959500.5106589808
41,209590.36085117777
42,-181039.26265247757
43,1150556.0464517458
44,138223.1325230096
45,721697.5758034644
46,95963.86469910141
47,60654.41764679786
48,363736.175875151
49,1349195.5112392113
50,1547852.0563410777
51,387156.07274521043
52,374017.1504292258
53,1813663.3040615066
54,1458085.3522415352
55,1113569.4771320636
56,41653.22937086519
57,861092.3934933263
58,82722.09581003812
59,1485520.5719591768
60,1002670.0111219134
61,1005111.1122759593
62,1642710.9642055163
63,63978.162279036165
64,956203.5978639591
65,1168422.3181697435
66,130029.34285712909
67,1495130.8731667723
68,582038.0589538588
69,245876.34078093193
70,453674.6902958548
71,-199951.6446142953
72,1384536.259454572
73,429603.12731132034
74,209094.35156754014
75,1336516.2081784012
76,513369.8689447304
77,50756.46633852804
78,220661.2651200566
79,1425199.5285794507
80,473920.5262079712
81,57519.973194983744
82,1354389.6282916542
83,112528.48550863222
84,492096.05128062586
85,75229.31579559148
86,1293315.7885132188
87,241362.77292261872
88,88711.33732166131
89,1443983.7151232727
90,1271640.3970455502
91,116335.0714744554
92,-135956.64432309027
93,130971.17287686864
94,410148.3744681837
95,232316.96784886942
96,258101.0791575194
97,75537.95110393829
98,834537.6337181431
99,1622344.9739650188
100,1001893.5738323131
101,68905.91663153292
102,1383162.610554008
103,443499.16860263946
104,957339.4706752347
105,806675.6995982671
106,68145.01675224472
107,1477291.5223545795
108,42411.83381072477
109,646616.2642144191
110,816552.1036925274
111,674755.3905125849
112,74536.80613968501
113,969953.7063763414
114,86428.74024672713
115,54682.95629577595
116,601606.6288579697
117,-610.3712045314738
118,62887.12391507258
119,1469602.3681450705
120,1302780.8480208358
121,548914.8012233775
122,928934.8512192855
123,1388744.8875736538
124,1226581.4335747415
125,84957.50866717179
126,84763.13418782232
127,61423.339273339705
128,65217.70812546885
129,785499.6196819777
130,118856.26805238365
131,546963.4360084817
132,105839.97610371362
133,1260829.4258687913
134,904845.216467026
135,40001.84396240223
136,154906.9176837389
137,-11122.60870275112
138,768686.6077072949
139,47547.42552760152
140,60775.93667281859
141,234385.9719579678
142,1370965.6842006121
143,1228043.466762412
144,811685.7186301021
145,719422.7516229451
146,1366272.8525930413
147,416424.5223086112
148,145837.2716446174
149,65715.25332181058
150,143281.09278834806
151,78461.31241867965
152,44116.338744800916
153,757888.306376459
154,784378.7181353094
155,414560.34471363184
156,902299.97762594
157,648606.3463842461
158,126016.9218411028
159,74968.43594923512
160,77693.5981534649
161,1561663.9668047933
162,1474897.4223417342
163,196491.63400599096
164,91804.39690872573
165,56807.70801583133
166,1056411.4996447917
167,1634184.6886300335
168,971831.1049210392
169,650510.9090720944
170,59001.96723463849
171,32092.001290721993
172,522597.8891646018
173,72598.01357600167
174,775164.6910437803
175,196926.95679509485
176,47926.45986928879
177,1438929.524320912
178,1125547.9092117914
179,72512.9143177705
180,126809.37652288658
181,1631753.423977941
182,79406.07678717282
183,89884.70297533796
184,834809.0293905879
185,195021.0765015626
186,1585468.4096707625
187,1159815.3367488463
188,136246.19213004303
189,61386.3920129245
190,62149.270816114964
191,983216.2019769078
192,965422.4282687181
193,465522.9665061194
194,982704.9775673918
195,1104030.0749833754
196,105532.61697004098
197,-52773.18595084743
198,858465.7773862428
199,606074.1080261812
200,840298.606083614
201,699828.4579319535
202,741516.3987079706
